START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
11/15/2014,7:00 PM,7:00 PM,San Jose 1 - Columbus 2,Nationwide Arena - Columbus - OH,CSN-CA /  FS-O,11/15/2014,11/15/2014,10:00 PM,10:00 PM,FALSE,TRUE,11/15/2014,6:00 PM,6:00 PM,FREE,BUSY
11/16/2014,5:00 PM,5:00 PM,San Jose 2 - Carolina 0,PNC Arena - Raleigh - NC,CSN-CA /  SPSO,11/16/2014,11/16/2014,8:00 PM,8:00 PM,FALSE,TRUE,11/16/2014,4:00 PM,4:00 PM,FREE,BUSY
11/18/2014,7:30 PM,7:30 PM,San Jose 1 - Buffalo 4,First Niagara Center - Buffalo - NY,NBCSN /  CSN-CA,11/18/2014,11/18/2014,10:30 PM,10:30 PM,FALSE,TRUE,11/18/2014,6:30 PM,6:30 PM,FREE,BUSY
11/20/2014,7:30 PM,10:30 PM,Florida 3 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-F /  CSN-CA,11/20/2014,11/21/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/20/2014,6:30 PM,9:30 PM,FREE,BUSY
11/22/2014,7:30 PM,10:30 PM,Arizona 4 - San Jose 3,SAP Center at San Jose - San Jose - CA,FS-A /  CSN-CA,11/22/2014,11/23/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/22/2014,6:30 PM,9:30 PM,FREE,BUSY
11/26/2014,7:30 PM,10:30 PM,Calgary 2 - San Jose 0,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,11/26/2014,11/27/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/26/2014,6:30 PM,9:30 PM,FREE,BUSY
11/29/2014,7:30 PM,10:30 PM,Anaheim 4 - San Jose 6,SAP Center at San Jose - San Jose - CA,KCOP-13 /  CSN-CA,11/29/2014,11/30/2014,10:30 PM,1:30 AM,FALSE,TRUE,11/29/2014,6:30 PM,9:30 PM,FREE,BUSY
12/02/2014,7:00 PM,10:00 PM,Philadelphia 1 - San Jose 2,SAP Center at San Jose - San Jose - CA,NBCSN /  CSN-PH,12/02/2014,12/03/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/02/2014,6:00 PM,9:00 PM,FREE,BUSY
12/04/2014,7:30 PM,10:30 PM,Boston 4 - San Jose 7,SAP Center at San Jose - San Jose - CA,SN360 /  NESN /  CSN-CA,12/04/2014,12/05/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/04/2014,6:30 PM,9:30 PM,FREE,BUSY
12/06/2014,8:00 PM,10:00 PM,San Jose 3 - Calgary 2,Scotiabank Saddledome - Calgary - AB,CBC /  CSN-CA,12/06/2014,12/07/2014,11:00 PM,1:00 AM,FALSE,TRUE,12/06/2014,7:00 PM,9:00 PM,FREE,BUSY
12/07/2014,7:00 PM,9:00 PM,San Jose 1 - Edmonton 2,Rexall Place - Edmonton - AB,CSN-CA /  SNW,12/07/2014,12/08/2014,10:00 PM,12:00 AM,FALSE,TRUE,12/07/2014,6:00 PM,8:00 PM,FREE,BUSY
12/09/2014,7:30 PM,10:30 PM,Edmonton 2 - San Jose 5,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,12/09/2014,12/10/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/09/2014,6:30 PM,9:30 PM,FREE,BUSY
12/11/2014,7:30 PM,10:30 PM,Minnesota 1 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-N / FS-WI /  CSN-CA,12/11/2014,12/12/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/11/2014,6:30 PM,9:30 PM,FREE,BUSY
12/13/2014,7:30 PM,10:30 PM,Nashville 0 - San Jose 2,SAP Center at San Jose - San Jose - CA,FS-TN /  CSN-CA,12/13/2014,12/14/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/13/2014,6:30 PM,9:30 PM,FREE,BUSY
12/18/2014,7:30 PM,10:30 PM,Edmonton 3 - San Jose 4,SAP Center at San Jose - San Jose - CA,SN360 /  CSN-CA,12/18/2014,12/19/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/18/2014,6:30 PM,9:30 PM,FREE,BUSY
12/20/2014,7:30 PM,10:30 PM,St Louis 2 - San Jose 3,SAP Center at San Jose - San Jose - CA,FS-MW /  CSN-CA,12/20/2014,12/21/2014,10:30 PM,1:30 AM,FALSE,TRUE,12/20/2014,6:30 PM,9:30 PM,FREE,BUSY
12/22/2014,7:00 PM,10:00 PM,San Jose 2 - Anaheim 3,Honda Center - Anaheim - CA,CSN-CA /  PRIME,12/22/2014,12/23/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/22/2014,6:00 PM,9:00 PM,FREE,BUSY
12/27/2014,7:00 PM,10:00 PM,San Jose 1 - Los Angeles 3,STAPLES Center - Los Angeles - CA,TVA / NBCSN / SN,12/27/2014,12/28/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/27/2014,6:00 PM,9:00 PM,FREE,BUSY
12/30/2014,7:00 PM,10:00 PM,Vancouver 3 - San Jose 1,SAP Center at San Jose - San Jose - CA,SNP /  CSN-CA,12/30/2014,12/31/2014,10:00 PM,1:00 AM,FALSE,TRUE,12/30/2014,6:00 PM,9:00 PM,FREE,BUSY
12/31/2014,5:00 PM,8:00 PM,San Jose 3 - Anaheim 0,Honda Center - Anaheim - CA,CSN-CA /  FS-W,12/31/2014,12/31/2014,8:00 PM,11:00 PM,FALSE,TRUE,12/31/2014,4:00 PM,7:00 PM,FREE,BUSY
01/03/2015,7:30 PM,10:30 PM,St Louis 7 - San Jose 2,SAP Center at San Jose - San Jose - CA,SN /  FS-MW /  CSN-CA,01/03/2015,01/04/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/03/2015,6:30 PM,9:30 PM,FREE,BUSY
01/05/2015,7:00 PM,8:00 PM,San Jose 3 - Winnipeg 2,MTS Centre - Winnipeg - MB,TVA /  CSN-CA /  TSN3,01/05/2015,01/05/2015,10:00 PM,11:00 PM,FALSE,TRUE,01/05/2015,6:00 PM,7:00 PM,FREE,BUSY
01/06/2015,7:00 PM,8:00 PM,San Jose 4 - Minnesota 3,Xcel Energy Center - St. Paul - MN,NBCSN,01/06/2015,01/06/2015,10:00 PM,11:00 PM,FALSE,TRUE,01/06/2015,6:00 PM,7:00 PM,FREE,BUSY
01/08/2015,7:00 PM,8:00 PM,San Jose 2 - St Louis 7,Scottrade Center - St. Louis - MO,CSN-CA /  FS-MW,01/08/2015,01/08/2015,10:00 PM,11:00 PM,FALSE,TRUE,01/08/2015,6:00 PM,7:00 PM,FREE,BUSY
01/10/2015,7:00 PM,10:00 PM,Ny Rangers 3 - San Jose 1,SAP Center at San Jose - San Jose - CA,FX-CA /  MSG /  CSN-CA,01/10/2015,01/11/2015,10:00 PM,1:00 AM,FALSE,TRUE,01/10/2015,6:00 PM,9:00 PM,FREE,BUSY
01/13/2015,7:00 PM,9:00 PM,San Jose 3 - Arizona 2,Gila River Arena - Glendale - AZ,CSN-CA /  FS-A PLUS,01/13/2015,01/14/2015,10:00 PM,12:00 AM,FALSE,TRUE,01/13/2015,6:00 PM,8:00 PM,FREE,BUSY
01/15/2015,7:30 PM,10:30 PM,Toronto 1 - San Jose 3,SAP Center at San Jose - San Jose - CA,TSN4 /  CSN-CA,01/15/2015,01/16/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/15/2015,6:30 PM,9:30 PM,FREE,BUSY
01/17/2015,7:00 PM,10:00 PM,Calgary 4 - San Jose 3,SAP Center at San Jose - San Jose - CA,CBC /  CSN-CA,01/17/2015,01/18/2015,10:00 PM,1:00 AM,FALSE,TRUE,01/17/2015,6:00 PM,9:00 PM,FREE,BUSY
01/19/2015,7:30 PM,10:30 PM,New Jersey 5 - San Jose 2,SAP Center at San Jose - San Jose - CA,MSG+ /  CSN-CA,01/19/2015,01/20/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/19/2015,6:30 PM,9:30 PM,FREE,BUSY
01/21/2015,7:30 PM,10:30 PM,Los Angeles 2 - San Jose 4,SAP Center at San Jose - San Jose - CA,NBCSN,01/21/2015,01/22/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/21/2015,6:30 PM,9:30 PM,FREE,BUSY
01/29/2015,7:00 PM,10:00 PM,Anaheim 3 - San Jose 6,SAP Center at San Jose - San Jose - CA,NBCSN / SN360,01/29/2015,01/30/2015,10:00 PM,1:00 AM,FALSE,TRUE,01/29/2015,6:00 PM,9:00 PM,FREE,BUSY
01/31/2015,7:30 PM,10:30 PM,Chicago 0 - San Jose 2,SAP Center at San Jose - San Jose - CA,SN /  CSN-CH /  CSN-CA,01/31/2015,02/01/2015,10:30 PM,1:30 AM,FALSE,TRUE,01/31/2015,6:30 PM,9:30 PM,FREE,BUSY
02/02/2015,7:30 PM,10:30 PM,Edmonton 5 - San Jose 4,SAP Center at San Jose - San Jose - CA,SNOL /  CSN-CA,02/02/2015,02/03/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/02/2015,6:30 PM,9:30 PM,FREE,BUSY
02/04/2015,8:00 PM,10:00 PM,San Jose at Calgary,Scotiabank Saddledome - Calgary - AB,SN / SN1 /  CSN-CA,02/04/2015,02/05/2015,11:00 PM,1:00 AM,FALSE,TRUE,02/04/2015,7:00 PM,9:00 PM,FREE,BUSY
02/05/2015,7:00 PM,10:00 PM,San Jose at Vancouver,Rogers Arena - Vancouver - BC,CSN-CA /  SNP,02/05/2015,02/06/2015,10:00 PM,1:00 AM,FALSE,TRUE,02/05/2015,6:00 PM,9:00 PM,FREE,BUSY
02/07/2015,7:30 PM,10:30 PM,Carolina at San Jose,SAP Center at San Jose - San Jose - CA,FS-CR /  CSN-CA,02/07/2015,02/08/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/07/2015,6:30 PM,9:30 PM,FREE,BUSY
02/09/2015,7:30 PM,10:30 PM,Calgary at San Jose,SAP Center at San Jose - San Jose - CA,SNW /  CSN-CA,02/09/2015,02/10/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/09/2015,6:30 PM,9:30 PM,FREE,BUSY
02/11/2015,7:30 PM,10:30 PM,Washington at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN / SN,02/11/2015,02/12/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/11/2015,6:30 PM,9:30 PM,FREE,BUSY
02/13/2015,7:00 PM,9:00 PM,San Jose at Arizona,Gila River Arena - Glendale - AZ,CSN-CA /  FS-A,02/13/2015,02/14/2015,10:00 PM,12:00 AM,FALSE,TRUE,02/13/2015,6:00 PM,8:00 PM,FREE,BUSY
02/15/2015,5:00 PM,8:00 PM,Tampa Bay at San Jose,SAP Center at San Jose - San Jose - CA,SUN /  CSN-CA,02/15/2015,02/15/2015,8:00 PM,11:00 PM,FALSE,TRUE,02/15/2015,4:00 PM,7:00 PM,FREE,BUSY
02/17/2015,7:00 PM,8:00 PM,San Jose at Nashville,Bridgestone Arena - Nashville - TN,CSN-CA /  FS-TN,02/17/2015,02/17/2015,10:00 PM,11:00 PM,FALSE,TRUE,02/17/2015,6:00 PM,7:00 PM,FREE,BUSY
02/19/2015,7:30 PM,8:30 PM,San Jose at Dallas,American Airlines Center - Dallas - TX,CSN-CA /  FS-SW,02/19/2015,02/19/2015,10:30 PM,11:30 PM,FALSE,TRUE,02/19/2015,6:30 PM,7:30 PM,FREE,BUSY
02/21/2015,7:00 PM,10:00 PM,Los Angeles at San Jose,Levi's Stadium - San Jose - CA,CBC / NBCSN / TVA2,02/21/2015,02/22/2015,10:00 PM,1:00 AM,FALSE,TRUE,02/21/2015,6:00 PM,9:00 PM,FREE,BUSY
02/26/2015,7:30 PM,10:30 PM,Detroit at San Jose,SAP Center at San Jose - San Jose - CA,SN360 /  FS-D /  CSN-CA,02/26/2015,02/27/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/26/2015,6:30 PM,9:30 PM,FREE,BUSY
02/28/2015,7:30 PM,10:30 PM,Ottawa at San Jose,SAP Center at San Jose - San Jose - CA,HNIC / TVA2 /  CSN-CA,02/28/2015,03/01/2015,10:30 PM,1:30 AM,FALSE,TRUE,02/28/2015,6:30 PM,9:30 PM,FREE,BUSY
03/02/2015,7:00 PM,10:00 PM,Montreal at San Jose,SAP Center at San Jose - San Jose - CA,RDS / SNE /  CSN-CA,03/02/2015,03/03/2015,10:00 PM,1:00 AM,FALSE,TRUE,03/02/2015,6:00 PM,9:00 PM,FREE,BUSY
03/03/2015,7:00 PM,10:00 PM,San Jose at Vancouver,Rogers Arena - Vancouver - BC,CSN-CA /  SNP,03/03/2015,03/04/2015,10:00 PM,1:00 AM,FALSE,TRUE,03/03/2015,6:00 PM,9:00 PM,FREE,BUSY
03/07/2015,7:00 PM,10:00 PM,Vancouver at San Jose,SAP Center at San Jose - San Jose - CA,HNIC /  CSN-CA,03/07/2015,03/08/2015,10:00 PM,1:00 AM,FALSE,TRUE,03/07/2015,6:00 PM,9:00 PM,FREE,BUSY
03/09/2015,7:00 PM,10:00 PM,Pittsburgh at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN /  ROOT,03/09/2015,03/10/2015,10:00 PM,1:00 AM,FALSE,TRUE,03/09/2015,6:00 PM,9:00 PM,FREE,BUSY
03/12/2015,7:30 PM,10:30 PM,Nashville at San Jose,SAP Center at San Jose - San Jose - CA,FS-TN /  CSN-CA,03/12/2015,03/13/2015,10:30 PM,1:30 AM,FALSE,TRUE,03/12/2015,6:30 PM,9:30 PM,FREE,BUSY
03/14/2015,1:00 PM,4:00 PM,Chicago at San Jose,SAP Center at San Jose - San Jose - CA,NHLN-US /  WGN /  CSN-CA,03/14/2015,03/14/2015,4:00 PM,7:00 PM,FALSE,TRUE,03/14/2015,12:00 PM,3:00 PM,FREE,BUSY
03/17/2015,7:00 PM,8:00 PM,San Jose at Winnipeg,MTS Centre - Winnipeg - MB,CSN-CA /  TSN3,03/17/2015,03/17/2015,10:00 PM,11:00 PM,FALSE,TRUE,03/17/2015,6:00 PM,7:00 PM,FREE,BUSY
03/19/2015,7:30 PM,7:30 PM,San Jose at Toronto,Air Canada Centre - Toronto - ON,TVA /  CSN-CA /  TSN4,03/19/2015,03/19/2015,10:30 PM,10:30 PM,FALSE,TRUE,03/19/2015,6:30 PM,6:30 PM,FREE,BUSY
03/21/2015,7:00 PM,7:00 PM,San Jose at Montreal,Centre Bell - Montreal - QC,NHLN-US / HNIC / TVA /  CSN-CA,03/21/2015,03/21/2015,10:00 PM,10:00 PM,FALSE,TRUE,03/21/2015,6:00 PM,6:00 PM,FREE,BUSY
03/23/2015,7:30 PM,7:30 PM,San Jose at Ottawa,Canadian Tire Centre - Ottawa - ON,CSN-CA /  RDS / TSN5,03/23/2015,03/23/2015,10:30 PM,10:30 PM,FALSE,TRUE,03/23/2015,6:30 PM,6:30 PM,FREE,BUSY
03/26/2015,7:30 PM,7:30 PM,San Jose at Detroit,Joe Louis Arena - Detroit - MI,CSN-CA /  FS-D,03/26/2015,03/26/2015,10:30 PM,10:30 PM,FALSE,TRUE,03/26/2015,6:30 PM,6:30 PM,FREE,BUSY
03/28/2015,1:00 PM,1:00 PM,San Jose at Philadelphia,Wells Fargo Center - Philadelphia - PA,CSN-CA /  CSN-PH,03/28/2015,03/28/2015,4:00 PM,4:00 PM,FALSE,TRUE,03/28/2015,12:00 PM,12:00 PM,FREE,BUSY
03/29/2015,7:30 PM,7:30 PM,San Jose at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NBCSN /  ROOT,03/29/2015,03/29/2015,10:30 PM,10:30 PM,FALSE,TRUE,03/29/2015,6:30 PM,6:30 PM,FREE,BUSY
04/01/2015,7:30 PM,10:30 PM,Colorado at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN,04/01/2015,04/02/2015,10:30 PM,1:30 AM,FALSE,TRUE,04/01/2015,6:30 PM,9:30 PM,FREE,BUSY
04/03/2015,7:00 PM,10:00 PM,Arizona at San Jose,SAP Center at San Jose - San Jose - CA,FS-A /  CSN-CA PLUS,04/03/2015,04/04/2015,10:00 PM,1:00 AM,FALSE,TRUE,04/03/2015,6:00 PM,9:00 PM,FREE,BUSY
04/04/2015,6:00 PM,9:00 PM,San Jose at Arizona,Gila River Arena - Glendale - AZ,CSN-CA PLUS /  FS-A PLUS,04/04/2015,04/05/2015,9:00 PM,12:00 AM,FALSE,TRUE,04/04/2015,5:00 PM,8:00 PM,FREE,BUSY
04/06/2015,7:30 PM,10:30 PM,Dallas at San Jose,SAP Center at San Jose - San Jose - CA,FS-SW+ /  CSN-CA PLUS,04/06/2015,04/07/2015,10:30 PM,1:30 AM,FALSE,TRUE,04/06/2015,6:30 PM,9:30 PM,FREE,BUSY
04/09/2015,7:30 PM,9:30 PM,San Jose at Edmonton,Rexall Place - Edmonton - AB,SN360 /  CSN-CA PLUS,04/09/2015,04/10/2015,10:30 PM,12:30 AM,FALSE,TRUE,04/09/2015,6:30 PM,8:30 PM,FREE,BUSY
04/11/2015,12:00 PM,3:00 PM,San Jose at Los Angeles,STAPLES Center - Los Angeles - CA,NBC / SN360,04/11/2015,04/11/2015,3:00 PM,6:00 PM,FALSE,TRUE,04/11/2015,11:00 AM,2:00 PM,FREE,BUSY
